team,cluster,silhouette
PIT,1,0.4084123359169584
NJD,1,0.39069849075539553
FLA,1,0.34787185602461274
CGY,1,0.34539167798846454
NYI,1,0.3373581262440997
DET,1,0.32565333887750403
CHI,1,0.2980088513117144
VGK,1,0.27749784740327743
VAN,1,0.2028594055007487
WPG,1,0.19225140986669245
WSH,1,0.12137573206556289
STL,1,0.10623854396060864
BUF,1,0.06614750175058204
COL,2,0.32090136124627716
CAR,2,0.2985660676123209
ANA,2,0.22311052315275096
TBL,2,0.10089801645694825
CBJ,2,0.05203288002895516
NSH,2,0.006434034711572962
SEA,3,0.21899379123095108
PHI,3,0.2122711372901206
DAL,3,0.1981869883436361
TOR,3,0.1309377548225143
NYR,3,0.008418489802354252
EDM,4,0.6004635882827178
LAK,4,0.49832314281655715
OTT,5,0.4971171519622229
MTL,5,0.4375835965574069
UTA,5,0.3547131855544736
MIN,5,0.180094379520296
BOS,5,-0.21905473138627476
SJS,6,0
