dimension,variable,loading
Volume,input_shotAttempts_per60,0.9001521228486832
Volume,input_unblockedShots_per60,0.9990653920804414
Volume,input_shotsOnGoal_per60,0.7842537117301263
Volume,input_xGoals_per60,0.8282565443512928
Volume,input_corsi_pct,0.9298880014255027
Volume,input_fenwick_pct,0.9288158935326244
Qualite,input_xG_per_shotAttempt,0.8140414467415673
Qualite,input_xG_per_unblockedShot,1.0238238916953852
Qualite,input_xG_per_SOG,0.7242581922899395
Qualite,input_pct_highDanger,0.73169752758834
Qualite,input_pct_mediumDanger,0.5947904664304268
Qualite,input_ratio_HD_LD,0.8470318556444147
Qualite,input_ratio_HD_MD,0.24421784390716597
Qualite,input_ratio_MD_LD,0.6588697508704519
Penetration,input_shot_completion_rate,-1.0292151661707345
Penetration,input_blocked_shot_rate,0.8099499771046167
Penetration,input_missed_net_rate,0.8837639281599298
Rebonds,input_rebounds_per60,1.0205915660600047
Rebonds,input_xG_per_rebound,-0.2645973634462125
Rebonds,input_pct_xG_from_rebounds,0.7751077190122119
Finishing,output_shooting_pct_vs_expected,1.0218839337570835
Finishing,output_goals_above_expected,1.0157146121101872
Finishing,output_HD_goals_vs_xG,0.2536920035087684
Finishing,output_MD_goals_vs_xG,0.6077628238322614
Finishing,output_LD_goals_vs_xG,0.46721448195559223
Misc_1,input_takeaways_per60,0.7535086370752258
Misc_1,input_giveaways_per60,-0.8537990051019961
Misc_1,input_takeaway_giveaway_ratio,1.0229239545340594
Misc_1,input_penalty_differential_per60,0.09043542094202481
Misc_1,input_penalties_taken_per60,0.06931352537309836
Misc_1,input_faceoff_win_pct,-0.04652476191571749
Misc_1,input_hits_per60,0.1737426488418479
Misc_1,input_zone_exit_success,0.041729235442618674
Misc_2,input_takeaways_per60,-0.016048192015860475
Misc_2,input_giveaways_per60,-0.05778067351407415
Misc_2,input_takeaway_giveaway_ratio,-0.01998442902363762
Misc_2,input_penalty_differential_per60,-0.459755191020763
Misc_2,input_penalties_taken_per60,1.0024572922515258
Misc_2,input_faceoff_win_pct,0.039242942946457485
Misc_2,input_hits_per60,0.3933799963444778
Misc_2,input_zone_exit_success,-0.15778490935650755
